ActivityDate,ActivityName,ElapsedTime,MovingTime,Distance,MaxSpeed,ElevationGain,Class
"Sep 6, 2016, 2:06:26 PM",Morning Run,995,962,3287.399902,4,87.97000122,0
"Sep 6, 2016, 3:42:46 PM",Morning Run,1046,971,3124.699951,3.799999952,0,0
"Sep 7, 2016, 2:05:14 PM",Morning Run,4203,4055,15205.90039,4.900000095,38.65999985,0
"Sep 9, 2016, 2:06:44 PM",Morning Run,954,954,3231.800049,4.400000095,0,0
"Sep 8, 2016, 1:47:58 PM",Morning Run,4275,4178,16102.2998,4.599999905,152.6399994,0
"Sep 9, 2016, 2:43:39 PM",Morning Run,1697,1697,7928.200195,5.800000191,0,2
"Sep 9, 2016, 3:18:10 PM",Morning Run,970,970,3228.199951,3.799999952,0,0
"Sep 10, 2016, 2:05:33 PM",Morning Run,6148,5965,22610.40039,5.199999809,126.8199997,1
"Sep 12, 2016, 1:50:05 PM",Morning Run,3557,3448,12889.09961,4.5,171.1399994,0
"Sep 12, 2016, 11:34:39 PM",Afternoon Run,1745,1650,6451.399902,5.099999905,11.26000023,0
"Sep 13, 2016, 2:06:10 PM",Morning Run,894,894,3219.699951,4.199999809,0,0
"Sep 13, 2016, 2:42:58 PM",8x1k 5:20 cycle  w/ break,2485,2319,9710.400391,6.400000095,0,2
"Sep 13, 2016, 3:30:05 PM",Morning Run,986,986,3226.199951,4.199999809,0,0
"Sep 14, 2016, 2:05:01 PM",Morning Run,3624,3129,11291,4.400000095,18.89669991,0
"Sep 15, 2016, 1:50:03 PM",Morning Run,827,827,2945.699951,4.199999809,10.89999962,0
"Sep 15, 2016, 3:15:01 PM",Morning Run,988,971,2930.899902,3.5,15.48330021,0
"Sep 15, 2016, 2:28:55 PM",Morning Run,2298,2216,10518.59961,6.400000095,147.6199951,2
"Sep 16, 2016, 2:39:41 PM",Morning Run,3688,3449,12883.7002,4.400000095,38.36669922,0
"Sep 17, 2016, 2:08:51 PM",Morning Run,1109,1109,3617,4,0,0
"Sep 17, 2016, 3:47:24 PM",Morning Run,1271,1209,3425.199951,3.700000048,0,0
"Sep 18, 2016, 6:03:09 PM",Lunch Run,2291,2204,8079.100098,4.599999905,23.36000061,0
"Sep 19, 2016, 1:54:01 PM",Morning Run,4268,4248,16106,4.699999809,174.2129974,0
"Sep 20, 2016, 1:49:19 PM",Morning Run,978,963,3289.5,3.900000095,88.00330353,0
"Sep 20, 2016, 3:30:18 PM",Morning Run,755,693,2073.199951,3.400000095,0,0
"Sep 22, 2016, 12:06:10 AM",Afternoon Run,3807,3588,12887.2002,4.300000191,32.77999878,0
"Sep 25, 2016, 4:30:24 PM",Morning Run,2394,2311,8057.700195,4.199999809,23.47999954,0
"Sep 24, 2016, 2:02:33 PM",Morning Run,6584,6501,25761.30078,5,184.3566742,1
"Sep 26, 2016, 1:50:12 PM",Morning Run,4321,4128,16114.2998,4.900000095,260.4230042,0
"Sep 27, 2016, 2:03:46 PM",Warm up,900,900,3228.399902,4.199999809,0,0
"Sep 27, 2016, 2:38:44 PM",Tempo,958,957,4763.399902,6.199999809,0,2
"Sep 27, 2016, 3:43:46 PM",Cooldown,1022,908,2667.800049,4.099999905,0,0
"Oct 2, 2016, 5:09:04 PM",Morning Run,2246,2146,8176.399902,5.099999905,24.11899948,0
"Sep 28, 2016, 2:04:10 PM",Morning Run,3312,3027,11270.7998,4.599999905,20.02000046,0
"Sep 29, 2016, 2:08:01 PM",Morning Run,4263,4152,16109.90039,4.699999809,153.5970001,0
"Sep 30, 2016, 2:06:01 PM",Morning Run,3194,2975,11269.2998,4.599999905,51.01330185,0
"Oct 1, 2016, 3:34:17 PM",Morning Run,1202,1202,4203.899902,3.900000095,0,0
"Oct 1, 2016, 5:15:51 PM",Morning Run,958,785,2265.800049,3.299999952,0,0
"Oct 1, 2016, 5:43:30 PM",Morning Run,1194,1194,4190,4,0,0
"Oct 3, 2016, 1:58:06 PM",Morning Run,4835,4601,17712.5,4.900000095,311.3399963,0
"Oct 4, 2016, 3:19:23 PM",Cooldown ,1074,1009,3388.300049,4.199999809,31.41329956,0
"Oct 4, 2016, 2:25:54 PM",5/3/1 hard 3/2/2 easy x3 fartlek,2970,2947,12715.7002,6.699999809,137.2899933,2
"Oct 5, 2016, 2:04:26 PM",Morning Run,3899,3509,12886.09961,6.199999809,39.02000046,0
"Oct 6, 2016, 1:54:01 PM",Morning Run,4182,4060,16103,4.699999809,25.10000038,0
"Oct 7, 2016, 2:07:23 PM",Warm up ,953,944,3238.600098,3.900000095,0,0
"Oct 7, 2016, 3:30:16 PM",Cooldown ,1019,1019,3301.100098,4.300000191,0,0
"Oct 7, 2016, 2:43:59 PM",5x2ks 1min easy in between ,2311,2216,10348.2998,6.300000191,0,2
"Oct 8, 2016, 2:06:32 PM",Morning Run,6019,5825,22543.40039,5,212.0166626,1
"Oct 10, 2016, 1:51:16 PM",Morning Run,4116,3985,16109.2998,5.400000095,185.6600037,0
"Oct 11, 2016, 2:43:43 PM",8x1k 5:20 cycle ,2461,1539,7935.600098,6,0,2
"Oct 11, 2016, 3:29:23 PM",Cooldown ,1062,1050,3224.5,3.900000095,0,0
"Oct 12, 2016, 2:04:52 PM",Morning Run,3566,3512,12881.2002,4.400000095,19.56669998,0
"Oct 14, 2016, 2:10:04 PM",Morning Run,3298,3017,11271.2002,5.099999905,19.61669922,0
"Oct 15, 2016, 3:40:04 PM",Morning Run,129,129,347.1000061,2.900000095,0,0
"Oct 15, 2016, 3:49:42 PM",Morning Run,1232,1113,3230.899902,4.099999905,26.02000046,0
"Oct 15, 2016, 2:07:32 PM",Morning Run,1125,1081,3721.100098,4.300000191,17.18000031,0
"Oct 16, 2016, 3:18:07 PM",Morning Run,2304,2269,8061.799805,4.199999809,23.45999908,0
"Oct 17, 2016, 1:52:36 PM",Morning Run,3858,3638,13694.90039,4.900000095,119.7929993,0
"Oct 18, 2016, 1:53:58 PM",Morning Run,944,928,3257.399902,4.400000095,22.15999985,0
"Oct 18, 2016, 2:33:10 PM",Morning Run,2138,2138,9334.400391,6.800000191,125.4199982,2
"Oct 18, 2016, 3:16:08 PM",Morning Run,887,807,2461.800049,3.599999905,26.05999947,0
"Oct 19, 2016, 2:05:36 PM",Morning Run,3411,3235,12000.7002,5.599999905,95.01999664,0
"Oct 20, 2016, 1:54:20 PM",Morning Run,1885,1824,6576.200195,4.5,35.34000015,0
"Oct 21, 2016, 8:38:25 PM",10 min shakeout ,617,601,2082.600098,4.599999905,0,0
"Oct 22, 2016, 12:13:28 AM",Afternoon Run,918,918,3257.199951,4.199999809,0,0
"Oct 22, 2016, 1:39:48 AM",Evening Run,1775,1473,4847.200195,4.400000095,14.19709969,0
"Oct 25, 2016, 2:07:36 PM",Morning Run,912,912,3233.399902,4.099999905,0,0
"Oct 25, 2016, 2:44:22 PM",Morning Run,705,635,3224.300049,6,0,2
"Oct 25, 2016, 3:00:58 PM",Morning Run,987,915,3822.699951,6.099999905,0,2
"Oct 25, 2016, 3:34:27 PM",Morning Run,928,928,2908.100098,3.799999952,0,0
"Oct 27, 2016, 3:08:45 AM",Evening Run,2806,2806,10478.40039,5,22.89999962,0
"Oct 27, 2016, 12:29:18 PM",Morning Run,3916,3824,12894.40039,4.800000191,92.73999786,0
"Oct 28, 2016, 3:09:08 PM",Warmup ,963,940,3307.899902,5.599999905,11.77999973,0
"Oct 28, 2016, 3:38:37 PM",5x1k solo 1 min active recovery,1494,932,5014.700195,6.400000095,67.44333649,2
"Oct 28, 2016, 4:08:58 PM",Cooldown ,1540,1497,4875.799805,3.799999952,36.41329956,0
"Oct 30, 2016, 9:56:26 PM",Afternoon Run,3978,3960,16106.5,5.300000191,100.8970032,0
"Nov 1, 2016, 1:57:35 PM",Morning Run,3554,3373,12881.09961,4.900000095,172.6999969,0
"Nov 2, 2016, 1:53:27 PM",Morning Run,1137,875,3200.300049,4.599999905,0,0
"Nov 2, 2016, 2:32:23 PM",Morning Run,2195,2195,9719.5,7.800000191,79.66000366,2
"Nov 2, 2016, 3:16:42 PM",Morning Run,660,636,2117.5,5,15.63329983,0
"Nov 3, 2016, 2:07:32 PM",Morning Run,3335,3014,11329.2002,4.699999809,19.70000076,0
"Nov 4, 2016, 2:07:09 PM",Morning Run,870,854,3050.399902,4.099999905,0,0
"Nov 4, 2016, 3:11:59 PM",Morning Run,952,952,3242.800049,4,0,0
"Nov 4, 2016, 2:43:17 PM",Morning Run,1273,1273,6307.399902,6,0,2
"Nov 5, 2016, 2:05:45 PM",Morning Run,4178,4078,16093.2002,4.699999809,142.151001,0
"Nov 6, 2016, 5:00:16 PM",Morning Run,2325,2266,8058.700195,5,23.34000015,0
"Nov 7, 2016, 3:08:27 PM",Morning Run,3314,3237,12884.2002,4.699999809,118.9069977,0
"Nov 8, 2016, 3:07:16 PM",Warmup ,922,919,3234.600098,5.099999905,0,0
"Nov 8, 2016, 3:42:48 PM",Morning Run,2239,1843,8167.600098,8.100000381,0,2
"Nov 8, 2016, 4:26:44 PM",Cooldown ,1023,1023,3223,4.5,0,0
"Nov 9, 2016, 3:03:36 PM",Recovery run,2641,2498,9674.200195,5.099999905,59.63999939,0
"Nov 10, 2016, 3:19:17 PM",Morning Run,3433,3349,12890.09961,4.900000095,119.5029984,0
"Nov 11, 2016, 4:44:37 PM",Morning Run,2761,2656,9662.5,4.400000095,33.16500092,0
"Nov 12, 2016, 6:23:37 PM",Morning Run,1803,1787,6586.5,5.400000095,14.92039967,0
"Nov 13, 2016, 2:36:58 PM",Warmup,1268,1211,4557,4.800000191,24.57290077,0
"Nov 13, 2016, 3:30:29 PM",Taking L's with Gabe ,966,966,4944.100098,6.400000095,24.55833244,2
"Nov 13, 2016, 4:05:28 PM",Cooldown ,1478,1436,5115.299805,4.300000191,24.80369949,0
"Nov 15, 2016, 4:17:04 AM",Off week day 1,1804,1804,6407.100098,5.099999905,10.07120037,0
"Nov 16, 2016, 4:31:53 PM",Morning Run,1789,1767,6063.700195,4.699999809,11.88129997,0
"Nov 20, 2016, 4:47:48 AM",Back at it ,1902,1810,6546.799805,4.800000191,12.75039959,0
"Nov 20, 2016, 5:29:20 PM",Day 0,1849,1803,6454.200195,4.400000095,13.24120045,0
"Nov 21, 2016, 5:31:48 PM",Day 1,3073,2870,11282.7002,5.099999905,98.56420135,0
"Nov 22, 2016, 11:19:11 PM",Afternoon Run,3007,2906,11310.40039,5.5,69.44789886,0
"Nov 23, 2016, 5:35:51 PM",Morning Run,2911,2911,11279.09961,5.300000191,83.38179779,0
"Nov 24, 2016, 7:02:55 PM",Lunch Run,3115,3068,11279.09961,4.900000095,99.83670044,0
"Nov 25, 2016, 7:17:17 PM",Lunch Run,1783,1777,6450.100098,4.599999905,17.76000023,0
"Nov 27, 2016, 3:38:11 AM",Easy on the road,3356,3134,11380.7002,5.099999905,58.82709885,0
